sentiment,review_body,product_category
-1,Uhm no. oh dear  no. i was initially drawn to this blouse's lovely fabric  the color and pattern are truly stunning. i decided to give it a try because it seemed somewhat boxy  oh boy was i right. sadly  this is one of the least flattering tops that i've ever tried on at retailer. it might be a great maternity top  though.,Blouses
-1,Wow this is huge! i'm all for the tent-look with the right style  but this was absurd. i could have fit two of me into the width  and with the peplum style  extra width doesn't flatter anyone. the fabric is also so thin that it doesn't hang nicely  it kind of floats around the body. if you want a wide top  then this is perfect  but if you wanted something that hangs nicely  look elsewhere. i purchased a petite s  my typical size.,Blouses
-1,I was really looking forward to receiving this blouse in the mail. the color was beautiful in person and the photo does not show the nice beading around the neck. that being said  i was so disappointed in the fit. i ordered a size 00 and the arm length was way too long yet the body of the shirt was way too cropped. cropped enough where you could see skin on the sides. made no sense! hoping to order a few more sizes to see if i can find the right fit. order up for length  down for arm length ...,Blouses
-1,"I usually wear a medium and bought a small. it fit ok  but had no shape and was not flattering. i love baby doll dresses and tops  but this was a tent. my daughter saw me try it on and said ""that's a piece of tablecloth."" it's going back.",Blouses
-1,This top seemed so unique online  but in person it was really nothing like the pics. super full  shorter cut. the quality wasn't what i thought it would be. i will gladly pay for nice quality fabric and unique prints anyday... but this wasn't any of those things..,Blouses
-1,"Sadly  this has to go back. i am 5'5""  128 lbs and this shirt is super short on me. very short. and it's so wide it's almost a trapeze cut. the overall effect is 50s/60s style maternity shirt. which is disappointing because the fabric is beautiful  the detail is nice in person  even the sleeve cuffs are great. i am not very tall and i'm fairly thin on top so i can get away with a lot of styles  loose and tight. the combo of short and trapeze is just unflattering.",Blouses
-1,This top was supposed to be 23 1/4 inches long in petite. it's actually 28 1/2 inches long.  it's also large in width. hard to believe it's an extra small petite.,Blouses
-1,This top looked super cute online but when it came it was super short and boxy. looked like a tent on me. this one went back the same day it came!,Blouses
-1,Beautiful print  however as the previous reviewer mentioned it is very sheer  much sheerer than the product shot shows. i was expecting to be able to wear a nude bra under this without a cami  however my nude bra was completely visible.  the top also ended at the middle of the zipper of my jeans  so much shorter than the tunic length shown  and the bottom half of the sleeves ballooned out much more noticeably in person (the top half of the sleeves are slim  and the bottom half are looser).  over,Blouses
0,Please be awate that although this blouse is beautiful and the color is gorgeous--it is completely sheer!!! it just doesn't match up with the price point ,Blouses
